iter	Passed	Remaining
399	91514	22878
400	91744	22650
401	91937	22412
402	92146	22179
403	92359	21946
404	92661	21735
405	92912	21511
406	93113	21276
407	93301	21038
408	93546	20813
409	93763	20582
410	93972	20349
411	94230	20126
412	94433	19892
413	94659	19663
414	94907	19438
415	95137	19210
416	95352	18979
417	95572	18748
418	95776	18515
419	96006	18286
420	96223	18056
421	96433	17824
422	96662	17595
423	96904	17369
424	97110	17137
425	97344	16909
426	97603	16686
427	97968	16480
428	98214	16254
429	98527	16039
430	99029	15853
431	99299	15630
432	99629	15416
433	99927	15196
434	100210	14974
435	100453	14745
436	100712	14519
437	100959	14291
438	101198	14061
439	101422	13830
440	101665	13601
441	101901	13371
442	102115	13138
443	102372	12911
444	102595	12680
445	102848	12452
446	103109	12225
447	103415	12003
448	103737	11783
449	104075	11563
450	104446	11347
451	104755	11124
452	105155	10910
453	105469	10686
454	105766	10460
455	106027	10230
456	106267	9998
457	106532	9769
458	106834	9542
459	107141	9316
460	107403	9086
461	107699	8858
462	108147	8642
463	108410	8411
464	108650	8178
465	108981	7951
466	109257	7720
467	109533	7489
468	109767	7255
469	110056	7024
470	110294	6790
471	110566	6559
472	110835	6326
473	111088	6093
474	111350	5860
475	111793	5636
476	112036	5402
477	112293	5168
478	112552	4934
479	112819	4700
480	113108	4467
481	113388	4234
482	113649	4000
483	113915	3765
484	114221	3532
485	114540	3299
486	114889	3066
487	115158	2831
488	115412	2596
489	115728	2361
490	115976	2125
491	116227	1889
492	116467	1653
493	116694	1417
494	116944	1181
495	117148	944
496	117409	708
497	117678	472
498	117976	236
499	118196	0
