iter	Logloss
383	0.1829714542
384	0.1829142257
385	0.1828628909
386	0.1827895081
387	0.1827539739
388	0.1827209642
389	0.1826853471
390	0.182639384
391	0.1825516109
392	0.1824667953
393	0.1823991315
394	0.1823489879
395	0.1822596226
396	0.1821804235
397	0.1821220362
398	0.1820658987
399	0.182013994
400	0.1819524739
401	0.181887552
402	0.1818243707
403	0.1817744773
404	0.1817353984
405	0.181682131
406	0.1816171146
407	0.1815553794
408	0.1815143411
409	0.1814572255
410	0.1814006712
411	0.1813376875
412	0.1813080285
413	0.1812626069
414	0.1811862095
415	0.1811370921
416	0.1810952455
417	0.1810569573
418	0.1810180225
419	0.1809872881
420	0.1809647858
421	0.1808903437
422	0.1808220241
423	0.1807547394
424	0.1807132615
425	0.1806361241
426	0.1806056268
427	0.1805504065
428	0.1805313178
429	0.1804816716
430	0.1804112523
431	0.1803636391
432	0.1802908805
433	0.1802327564
434	0.1801911685
435	0.1801594793
436	0.1801195388
437	0.1800713258
438	0.1800258688
439	0.1799722213
440	0.1798930015
441	0.1798349684
442	0.1798137929
443	0.179745559
444	0.1797273129
445	0.1796768023
446	0.1796252827
447	0.1795786298
448	0.1795402297
449	0.179477118
450	0.1794163651
451	0.1793937723
452	0.1793056445
453	0.1792427327
454	0.1791773968
455	0.1791286681
456	0.1791002096
457	0.1790536753
458	0.1790197726
459	0.1789638045
460	0.1789211473
461	0.1788751213
462	0.1788260855
463	0.1787891405
464	0.1787444753
465	0.1787039578
466	0.1786507877
467	0.1785901257
468	0.1785347786
469	0.178462232
470	0.1784037413
471	0.1783733343
472	0.1783250749
473	0.1783069775
474	0.1782590015
475	0.1782162689
476	0.1781801655
477	0.1781426387
478	0.1780708173
479	0.1780278473
480	0.1779756238
481	0.1779264524
482	0.177899275
483	0.1778501367
484	0.1778062057
485	0.1777585323
486	0.1776996773
487	0.1776052974
488	0.1775641472
489	0.1775374364
490	0.1775076397
491	0.1774723952
492	0.1774097322
493	0.177364461
494	0.1772955597
495	0.1772581932
496	0.1772229944
497	0.1771704931
498	0.177124187
499	0.1770789484
